ANALYTE_ACCESSION	GENE_SYMBOL	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	LINK	OFFICIAL_GENE_NAME	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	TAXONOMY_ID	UNIPROT_ENTRY	UNIPROT_ENTRY_NAME
ANA481	Ccl20	CKb4;LARC;ST38;MIP3A;MIP-3A;Scya20;MIP-3[a];exodus-1;	20297	MGI:1329031	Ccl20	http://www.ncbi.nlm.nih.gov/gene/?term=20297	chemokine (C-C motif) ligand 20	PR:000001992	C-C motif chemokine 20	SCYA20;CCL20;liver and activation-regulated chemokine;small-inducible cytokine A20;beta chemokine exodus-1;MIP3A;CC chemokine ST38;CC chemokine LARC;LARC;macrophage inflammatory protein 3 alpha;MIP-3-alpha;	10090	CCL20_MOUSE	C-C motif chemokine 20
ANA482	Ccl21a	ALP;SLC;plt;CKb9;Tca4;6Ckine;Scya21;6CKBAC2;SCYA21a;Scya21b;AW987545;	18829	MGI:1349183	Ccl21a	http://www.ncbi.nlm.nih.gov/gene/?term=18829	chemokine (C-C motif) ligand 21A (serine)	PR:000001993	C-C motif chemokine 21	small-inducible cytokine A21;Scya21b;TCA4;thymus-derived chemotactic agent 4;small-inducible cytokine A21c;Ccl21c;small-inducible cytokine A21b;small-inducible cytokine A21a;SCYA21;CCL21;6Ckine;SLC;beta chemokine exodus-2;Scya21c;secondary lymphoid-tissue chemokine;Ccl21b;	10090	CC21A_MOUSE	C-C motif chemokine 21a
ANA483	Ccl22	MDC;DCBCK;ABCD-1;Scya22;	20299	MGI:1306779	Ccl22	http://www.ncbi.nlm.nih.gov/gene/?term=20299	chemokine (C-C motif) ligand 22	PR:000001994	C-C motif chemokine 22	CCL22;CC chemokine ABCD-1;activated B and dendritic cell-derived;SCYA22;MDC;stimulated T-cell chemotactic protein 1;small-inducible cytokine A22;Abcd1;macrophage-derived chemokine;MDC(1-69);CC chemokine STCP-1;	10090	CCL22_MOUSE	C-C motif chemokine 22
ANA484	Ccl24	CKb-6;MPIF-2;Scya24;	56221	MGI:1928953	Ccl24	http://www.ncbi.nlm.nih.gov/gene/?term=56221	chemokine (C-C motif) ligand 24	PR:000001996	C-C motif chemokine 24	CCL24;CK-beta-6;MPIF-2;MPIF2;SCYA24;eosinophil chemotactic protein 2;eotaxin-2;myeloid progenitor inhibitory factor 2;small-inducible cytokine A24;	10090	CCL24_MOUSE	C-C motif chemokine 24
ANA485	Ccl25	TECK;CKb15;Scya25;AI852536;A130072A22Rik;	20300	MGI:1099448	Ccl25	http://www.ncbi.nlm.nih.gov/gene/?term=20300	chemokine (C-C motif) ligand 25	PR:000001801	C-C motif chemokine 25	SCYA25;thymus-expressed chemokine;TECK;CCL25;small-inducible cytokine A25;chemokine TECK;	10090	CCL25_MOUSE	C-C motif chemokine 25
ANA486	Ccl26	Ccl26l;	541307	MGI:3589281	Ccl26	http://www.ncbi.nlm.nih.gov/gene/?term=541307	chemokine (C-C motif) ligand 26	PR:000001997	C-C motif chemokine 26	small-inducible cytokine A26;TSC-1;MIP-4-alpha;CC chemokine IMAC;SCYA26;CCL26;macrophage inflammatory protein 4-alpha;eotaxin-3;thymic stroma chemokine-1;	10090	F8VQM2_MOUSE	-
ANA487	Ccl27a	ALP;ILC;CTAK;CTACK;Ccl27;PESKY;ESkine;Scya27;Scya27a;AW558992;	20301	MGI:1343459	Ccl27a	http://www.ncbi.nlm.nih.gov/gene/?term=20301	chemokine (C-C motif) ligand 27A	PR:000001802	C-C motif chemokine 27	mILC;SCYA27;ILC;CC chemokine ILC;skinkine;cutaneous T-cell-attracting chemokine;small-inducible cytokine A27;CTACK;ESkine;IL-11 R-alpha-locus chemokine;ALP;CCL27;	10090	CCL27_MOUSE	C-C motif chemokine 27
ANA488	Ccl3	Mip1a;Scya3;G0S19-1;AI323804;MIP1-(a);LD78alpha;MIP-1alpha;MIP1-alpha;	20302	MGI:98260	Ccl3	http://www.ncbi.nlm.nih.gov/gene/?term=20302	chemokine (C-C motif) ligand 3	PR:000002123	C-C motif chemokine 3	TY-5;SCYA3;tonsillar lymphocyte LD78 alpha protein;MIP-1-alpha;heparin-binding chemotaxis protein;L2G25B;macrophage inflammatory protein 1-alpha;PAT 464.1;G0S19-1;SIS-alpha;small-inducible cytokine A3;SIS-beta;MIP1A;G0/G1 switch regulatory protein 19-1;CCL3;	10090	CCL3_MOUSE	C-C motif chemokine 3
ANA489	Ccl4	Act-2;Mip1b;Scya4;MIP-1B;AT744.1;	20303	MGI:98261	Mip1b	http://www.ncbi.nlm.nih.gov/gene/?term=20303	chemokine (C-C motif) ligand 4	PR:000002124	C-C motif chemokine 4	LAG-1;immune activation protein 2;ACT2;ACT-2;SCYA4;HC21;macrophage inflammatory protein 1-beta;small-inducible cytokine A4;T-cell activation protein 2;LAG1;SIS-gamma;MIP-1-beta;CCL4;MIP1B;G-26 T-lymphocyte-secreted protein;MIP-1-beta(1-69);protein H400;lymphocyte activation gene 1 protein;PAT 744;	10090	CCL4_MOUSE	C-C motif chemokine 4
ANA49	CMTM7	CKLFSF7;	112616	HGNC:19178	CMTM7	http://www.ncbi.nlm.nih.gov/gene/?term=112616	CKLF-like MARVEL transmembrane domain containing 7	PR:000031311	CKLF-like MARVEL transmembrane domain-containing protein 7	Lnv;CMTM7;chemokine-like factor superfamily member 7;CKLFSF7;LNV;	9606	CKLF7_HUMAN	CKLF-like MARVEL transmembrane domain-containing protein 7
ANA490	Ccl5	SISd;Scya5;RANTES;TCP228;MuRantes;	20304	MGI:98262	Ccl5	http://www.ncbi.nlm.nih.gov/gene/?term=20304	chemokine (C-C motif) ligand 5	PR:000002094	small inducible cytokine A5	CCL5;D17S136E;EoCP;RANTES;SCYA5;SIS-delta;T cell-specific protein P228;T-cell-specific protein RANTES;TCP228;eosinophil chemotactic cytokine;small inducible cytokine A5;small-inducible cytokine A5;	10090	CCL5_MOUSE	C-C motif chemokine 5
ANA491	Ccl7	fic;marc;mcp3;MCP-3;Scya7;	20306	MGI:99512	Ccl7	http://www.ncbi.nlm.nih.gov/gene/?term=20306	chemokine (C-C motif) ligand 7	PR:000002125	C-C motif chemokine 7	monocyte chemoattractant protein 3;SCYA6;MCP3;CCL7;SCYA7;small-inducible cytokine A7;NC28;monocyte chemotactic protein 3;Fic;protein FIC;MCP-3;intercrine/chemokine MARC;	10090	CCL7_MOUSE	C-C motif chemokine 7
ANA492	Ccl8	HC14;Mcp2;MCP-2;Scya8;AB023418;1810063B20Rik;	20307	MGI:101878	Ccl8	http://www.ncbi.nlm.nih.gov/gene/?term=20307	chemokine (C-C motif) ligand 8	PR:000002126	C-C motif chemokine 8	HC14;MCP2;small-inducible cytokine A8;SCYA10;SCYA8;MCP-2;CCL8;monocyte chemotactic protein 2;monocyte chemoattractant protein 2;	10090	CCL8_MOUSE	C-C motif chemokine 8
ANA493	Ccr1	Cmkbr1;Mip-1a-R;	12768	MGI:104618	Ccr1	http://www.ncbi.nlm.nih.gov/gene/?term=12768	chemokine (C-C motif) receptor 1	PR:000001254	chemokine receptor CCR1	HM145;CCR-1;RANTES-R;CD191;CMKBR1;CC-CKR-1;LD78 receptor;macrophage inflammatory protein 1-alpha receptor;C-C CKR-1;CCR1;MIP-1alpha-R;SCYAR1;CMKR1;	10090	CCR1_MOUSE	C-C chemokine receptor type 1
ANA494	Ccr10	RP23-281C18.3;Cmkbr9;Gpr2;	12777	MGI:1096320	Ccr10	http://www.ncbi.nlm.nih.gov/gene/?term=12777	chemokine (C-C motif) receptor 10	PR:000001198	C-C chemokine receptor type 10	chemokine receptor CCR10;chemokine C-C receptor 9;C-C CKR-10;Cmkbr9;CC-CKR-10;CCR-10;GPR2;G-protein coupled receptor 2;CCR10;	10090	CCR10_MOUSE	C-C chemokine receptor type 10
ANA495	Ccr2	Cc-ckr-2a;Ccr2b;Ckr2;Ckr2a;Ckr2b;Cmkbr2;mJe-r;Ccr2;	12772	MGI:106185	Ccr2	http://www.ncbi.nlm.nih.gov/gene/?term=12772	chemokine (C-C motif) receptor 2	PR:000001199	C-C chemokine receptor type 2	C-C CKR-2;CC-CKR-2;CCR-2;MCP-1-R;JE/FIC receptor;monocyte chemoattractant protein 1 receptor;CCR2;chemokine receptor CCR2;CMKBR2;MCP-1 receptor;CD192;	10090	CCR2_MOUSE	C-C chemokine receptor type 2
ANA496	Ccr3	CC-CKR3;CKR3;Cmkbr1l2;Cmkbr3;	12771	MGI:104616	Ccr3	http://www.ncbi.nlm.nih.gov/gene/?term=12771	chemokine (C-C motif) receptor 3	PR:000001255	chemokine receptor CCR3	Cmkbr1l2;C-C CKR-3;eosinophil eotaxin receptor;MIP-1 alpha RL2;CKR3;CMKBR3;macrophage inflammatory protein 1-alpha receptor-like 2;CC-CKR-3;CCR-3;CCR3;CD193;	10090	CCR3_MOUSE	Probable C-C chemokine receptor type 3
ANA497	Ccr4	C-C CKR-4;CHEMR1;Cmkbr4;LESTR;Sdf1r;	12773	MGI:107824	Ccr4	http://www.ncbi.nlm.nih.gov/gene/?term=12773	chemokine (C-C motif) receptor 4	PR:000001200	C-C chemokine receptor type 4	CMKBR4;CD194;K5-5;chemokine receptor CCR4;C-C CKR-4;CCR-4;CCR4;CC-CKR-4;	10090	CCR4_MOUSE	C-C chemokine receptor type 4
ANA498	Ccr5	AM4-7;CD195;Cmkbr5;	12774	MGI:107182	Ccr5	http://www.ncbi.nlm.nih.gov/gene/?term=12774	chemokine (C-C motif) receptor 5	PR:000001201	C-C chemokine receptor type 5	CCR5;MIP-1 alpha receptor;CMKBR5;chemokine receptor CCR5;CD195;HIV-1 fusion coreceptor;CHEMR13;C-C CKR-5;CC-CKR-5;CCR-5;	10090	CCR5_MOUSE	C-C chemokine receptor type 5
ANA499	Ccr6	CC-CKR-6;CCR-6;Cmkbr6;KY411;	12458	MGI:1333797	Ccr6	http://www.ncbi.nlm.nih.gov/gene/?term=12458	chemokine (C-C motif) receptor 6	PR:000001202	C-C chemokine receptor type 6	chemokine receptor-like 3;CKR-L3;CCR6;KY411;DRY6;G-protein coupled receptor 29;GPR29;GPR-CY4;LARC receptor;CD196;chemokine receptor CCR6;CC-CKR-6;STRL22;GPRCY4;C-C CKR-6;CKRL3;CMKBR6;CCR-6;	10090	CCR6_MOUSE	C-C chemokine receptor type 6
ANA5	CCL14	CC-1;CC-3;CKB1;MCIF;NCC2;SY14;HCC-1;HCC-3;NCC-2;SCYL2;SCYA14;HCC-1(1-74);HCC-1/HCC-3;	6358	HGNC:10612	CCL14	http://www.ncbi.nlm.nih.gov/gene/?term=6358	chemokine (C-C motif) ligand 14	PR:000001986	C-C motif chemokine 14	NCC-2;CCL14;HCC-1/HCC-3;small-inducible cytokine A14;chemokine CC-1/CC-3;HCC-1(1-74);SCYA14;NCC2;	9606	CCL14_HUMAN	HCC-1(9-74)
ANA50	CNTFR	RP11-296L22.1;	1271	HGNC:2170	CNTFR	http://www.ncbi.nlm.nih.gov/gene/?term=1271	ciliary neurotrophic factor receptor	PR:000005664	ciliary neurotrophic factor receptor subunit alpha	ciliary neurotrophic factor receptor alpha;CNTFR-alpha;CNTF receptor subunit alpha;CNTFR;	9606	CNTFR_HUMAN	Ciliary neurotrophic factor receptor subunit alpha
ANA241	TNFSF13B	DTL;BAFF;BLYS;CD257;TALL1;THANK;ZTNF4;TALL-1;TNFSF20;	10673	HGNC:11929	BAFF	http://www.ncbi.nlm.nih.gov/gene/?term=10673	tumor necrosis factor (ligand) superfamily, member 13b	PR:000001948	tumor necrosis factor ligand superfamily member 13B	BLyS;TNFSF20;TNF- and APOL-related leukocyte expressed ligand 1;CD257;B lymphocyte stimulator;TALL1;BAFF;ZTNF4;TALL-1;B-cell-activating factor;TNFSF13B;dendritic cell-derived TNF-like molecule;	9606	TN13B_HUMAN	Tumor necrosis factor ligand superfamily member 13b, soluble form
ANA242	TNFSF14	LTg;TR2;CD258;HVEML;LIGHT;	8740	HGNC:11930	TNFSF14	http://www.ncbi.nlm.nih.gov/gene/?term=8740	tumor necrosis factor (ligand) superfamily, member 14	PR:000002222	tumor necrosis factor ligand superfamily member 14	CD258;HVEM-L;herpes virus entry mediator ligand;TNFSF14;LIGHT;herpesvirus entry mediator ligand;HVEML;	9606	TNF14_HUMAN	Tumor necrosis factor ligand superfamily member 14, soluble form
ANA243	TNFSF15	TL1;TL1A;VEGI;VEGI192A;	9966	HGNC:11931	TNFSF15	http://www.ncbi.nlm.nih.gov/gene/?term=9966	tumor necrosis factor (ligand) superfamily, member 15	PR:000002223	tumor necrosis factor ligand superfamily member 15	TL1;VEGI;TNFSF15;TNF ligand-related molecule 1;vascular endothelial cell growth inhibitor;	9606	TNF15_HUMAN	Tumor necrosis factor ligand superfamily member 15, secreted form
ANA244	TNFSF18	TL6;AITRL;GITRL;hGITRL;	8995	HGNC:11932	TNFSF18	http://www.ncbi.nlm.nih.gov/gene/?term=8995	tumor necrosis factor (ligand) superfamily, member 18	PR:000016488	tumor necrosis factor ligand superfamily member 18	AITRL;GITRL;TL6;TNFSF18;activation-inducible TNF-related ligand;glucocorticoid-induced TNF-related ligand;	9606	TNF18_HUMAN	Tumor necrosis factor ligand superfamily member 18
ANA245	TNFSF4	GP34;CD252;OX4OL;TXGP1;CD134L;OX-40L;	7292	HGNC:11934	TNFSF4	http://www.ncbi.nlm.nih.gov/gene/?term=7292	tumor necrosis factor (ligand) superfamily, member 4	PR:000001949	tumor necrosis factor ligand superfamily member 4	Txgp1l;TNFSF4;TXGP1;glycoprotein Gp34;TAX transcriptionally-activated glycoprotein 1;CD252;OX40L;OX40 ligand;	9606	TNFL4_HUMAN	Tumor necrosis factor ligand superfamily member 4
ANA246	TNFSF8	CD153;CD30L;CD30LG;	944	HGNC:11938	TNFSF8	http://www.ncbi.nlm.nih.gov/gene/?term=944	tumor necrosis factor (ligand) superfamily, member 8	PR:000001404	tumor necrosis factor ligand superfamily member 8	TNFSF8;CD30-L;CD153;CD30LG;CD30 ligand;CD30L;	9606	TNFL8_HUMAN	Tumor necrosis factor ligand superfamily member 8
ANA247	TNFSF9	CD137L;4-1BB-L;	8744	HGNC:11939	TNFSF9	http://www.ncbi.nlm.nih.gov/gene/?term=8744	tumor necrosis factor (ligand) superfamily, member 9	PR:000016489	tumor necrosis factor ligand superfamily member 9	Cd137l;4-1BBL;4-1BB ligand;Ly63l;Cd157l;TNFSF9;	9606	TNFL9_HUMAN	Tumor necrosis factor ligand superfamily member 9
ANA248	XCL1	LTN;ATAC;LPTN;SCM1;SCM-1;SCM1A;SCYC1;SCM-1a;	6375	HGNC:10645	XCL1	http://www.ncbi.nlm.nih.gov/gene/?term=6375	chemokine (C motif) ligand 1	PR:000002140	lymphotactin	lymphotactin ATAC;C motif chemokine 1;LTN;Lptn;SCM-1-alpha;SCYC1;XC chemokine ligand 1;XCL1PRO-short-label;cytokine SCM-1;lymphotaxin;small-inducible cytokine C1;	9606	XCL1_HUMAN	Lymphotactin
ANA249	XCL2	SCM1B;SCYC2;SCM-1b;	6846	HGNC:10646	XCL2	http://www.ncbi.nlm.nih.gov/gene/?term=6846	chemokine (C motif) ligand 2	PR:000002138	cytokine SCM-1 beta	cytokine SCM-1 beta;C motif chemokine 2;SCYC2;XC chemokine ligand 2;XCL2;	9606	XCL2_HUMAN	Cytokine SCM-1 beta
ANA25	CCL4L1	LAG1;CCL4L;LAG-1;SCYA4L;AT744.2;SCYA4L1;	388372	HGNC:10631	CCL4L1	http://www.ncbi.nlm.nih.gov/gene/?term=388372	chemokine (C-C motif) ligand 4-like 1	-	-	-	9606	CC4L_HUMAN	C-C motif chemokine 4-like
ANA250	XCR1	CCXCR1;GPR5;	2829	HGNC:1625	XCR1	http://www.ncbi.nlm.nih.gov/gene/?term=2829	chemokine (C motif) receptor 1	PR:000001212	chemokine XC receptor 1	GPR5;XC chemokine receptor 1;SCM1 receptor;lymphotactin receptor;XCR1;G-protein coupled receptor 5;mXCR1;CCXCR1;chemokine receptor XCR1;	9606	XCR1_HUMAN	Chemokine XC receptor 1
ANA26	CCL4L2	CCL4L;SCYA4L;AT744.2;SCYQ4L2;	9560	HGNC:24066	CCL4L2	http://www.ncbi.nlm.nih.gov/gene/?term=9560	chemokine (C-C motif) ligand 4-like 2	PR:000005112	C-C motif chemokine 4-like	monocyte adherence-induced protein 5-alpha;small-inducible cytokine A4-like;LAG-1;CCL4L2;macrophage inflammatory protein 1-beta;MIP-1-beta;SCYA4L2;CCL4L;lymphocyte activation gene 1 protein;	9606	-	-
ANA27	CCL5	SISd;eoCP;SCYA5;RANTES;TCP228;D17S136E;SIS-delta;	6352	HGNC:10632	RANTES	http://www.ncbi.nlm.nih.gov/gene/?term=6352	chemokine (C-C motif) ligand 5	PR:000002094	small inducible cytokine A5	CCL5;D17S136E;EoCP;RANTES;SCYA5;SIS-delta;T cell-specific protein P228;T-cell-specific protein RANTES;TCP228;eosinophil chemotactic cytokine;small inducible cytokine A5;small-inducible cytokine A5;	9606	CCL5_HUMAN	RANTES(4-68)
ANA28	CCL7	FIC;MARC;MCP3;NC28;MCP-3;SCYA6;SCYA7;	6354	HGNC:10634	MCP3	http://www.ncbi.nlm.nih.gov/gene/?term=6354	chemokine (C-C motif) ligand 7	PR:000002125	C-C motif chemokine 7	monocyte chemoattractant protein 3;SCYA6;MCP3;CCL7;SCYA7;small-inducible cytokine A7;NC28;monocyte chemotactic protein 3;Fic;protein FIC;MCP-3;intercrine/chemokine MARC;	9606	CCL7_HUMAN	C-C motif chemokine 7
ANA29	CCL8	HC14;MCP2;MCP-2;SCYA8;SCYA10;	6355	HGNC:10635	CCL8	http://www.ncbi.nlm.nih.gov/gene/?term=6355	chemokine (C-C motif) ligand 8	PR:000002126	C-C motif chemokine 8	HC14;MCP2;small-inducible cytokine A8;SCYA10;SCYA8;MCP-2;CCL8;monocyte chemotactic protein 2;monocyte chemoattractant protein 2;	9606	CCL8_HUMAN	MCP-2(6-76)
ANA517	Csf2ra	CD116;Csfgmra;GM-CSF-Ra;GM-CSFR;	12982	MGI:1339754	Csf2ra	http://www.ncbi.nlm.nih.gov/gene/?term=12982	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	PR:000001354	granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2R;GM-CSF-R-alpha;Csfgmra;CD116;CDw116;GMCSFR-alpha;CSF2RA;GMR-alpha;CSF2RY;	10090	CSF2R_MOUSE	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
ANA518	Csf2rb	AI848964;AIC2B;Bc;CDw1311;Csfgmrb;Il3r;Il3rb;Il3rb1;Il5rb;Csf2rb;	12983	MGI:1339759	Csf2rb	http://www.ncbi.nlm.nih.gov/gene/?term=12983	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	PR:000001339	cytokine receptor common beta chain	GM-CSF/IL-3/IL-5 receptor common beta subunit;IL3RB;CDw131;Csf2rb1;CSF2RB;Aic2b;CD131;IL5RB;Il3rb1;	10090	IL3RB_MOUSE	Cytokine receptor common subunit beta
ANA519	Csf3	Csfg;G-CSF;MGI-IG;	12985	MGI:1339751	Csf3	http://www.ncbi.nlm.nih.gov/gene/?term=12985	colony stimulating factor 3 (granulocyte)	PR:000005932	granulocyte colony-stimulating factor	filgrastim;CSF3;lenograstim;G-CSF;Csfg;pluripoietin;GCSF;	10090	CSF3_MOUSE	Granulocyte colony-stimulating factor
ANA52	CSF1R	C-FMS;CD115;CSF-1R;CSFR;FIM2;FMS;HDLS;M-CSF-R;	1436	HGNC:2433	CSF1R	http://www.ncbi.nlm.nih.gov/gene/?term=1436	colony stimulating factor 1 receptor	PR:000002062	macrophage colony-stimulating factor 1 receptor	CSF1R;Csfmr;FMS;CSF-1-R;CD115;proto-oncogene c-Fms;	9606	CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor
ANA520	Csf3r	RP23-140F18.1;Cd114;Csfgr;G-CSF-R;G-CSFR;	12986	MGI:1339755	Csf3r	http://www.ncbi.nlm.nih.gov/gene/?term=12986	colony stimulating factor 3 receptor (granulocyte)	PR:000001353	granulocyte colony-stimulating factor receptor	G-CSF receptor;Csfgr;G-CSF-R;GCSFR;CD114;CSF3R;	10090	CSF3R_MOUSE	Granulocyte colony-stimulating factor receptor
ANA521	Cx3cl1	CX3C;Cxc3;Scyd1;ABCD-3;AB030188;AI848747;D8Bwg0439e;	20312	MGI:1097153	Fractalkine	http://www.ncbi.nlm.nih.gov/gene/?term=20312	chemokine (C-X3-C motif) ligand 1	PR:000001855	fractalkine	FKN;small-inducible cytokine D1;CX3C membrane-anchored chemokine;NTT;CX3CL1;C-X3-C motif chemokine 1;neurotactin;Cx3c;SCYD1;	10090	X3CL1_MOUSE	Processed fractalkine
ANA522	Cx3cr1	-	13051	MGI:1333815	Cx3cr1	http://www.ncbi.nlm.nih.gov/gene/?term=13051	chemokine (C-X3-C motif) receptor 1	PR:000001206	CX3C chemokine receptor 1	GPR13;CMK-BRL-1;G-protein coupled receptor 13;V28;chemokine receptor CX3CR1;beta chemokine receptor-like 1;CMKBRL1;CX3CR1;CMK-BRL1;C-X3-C CKR-1;fractalkine receptor;	10090	CX3C1_MOUSE	CX3C chemokine receptor 1
ANA523	Cxcl1	KC;Fsp;N51;gro;Gro1;Mgsa;Scyb1;	14825	MGI:108068	Cxcl1	http://www.ncbi.nlm.nih.gov/gene/?term=14825	chemokine (C-X-C motif) ligand 1	PR:000006063	growth-regulated alpha protein	platelet-derived growth factor-inducible protein KC;melanoma growth stimulatory activity;GRO1;neutrophil-activating protein 3;NAP-3;GROA;GRO-alpha(1-73);GRO;CXCL1;secretory protein N51;MGSA;C-X-C motif chemokine 1;SCYB1;	10090	GROA_MOUSE	KC(5-72)
ANA524	Cxcl10	C7;IP10;CRG-2;INP10;IP-10;Ifi10;mob-1;Scyb10;gIP-10;	15945	MGI:1352450	IP-10	http://www.ncbi.nlm.nih.gov/gene/?term=15945	chemokine (C-X-C motif) ligand 10	PR:000006064	C-X-C motif chemokine 10	C-X-C motif chemokine 10;10 kDa interferon gamma-induced protein;C7;CXCL10;Crg2;INP10;IP-10;Ifi10;SCYB10;gamma-IP10;interferon-gamma induced protein CRG-2;small-inducible cytokine B10;	10090	CXL10_MOUSE	C-X-C motif chemokine 10
ANA525	Cxcl11	Ip9;H174;Itac;b-R1;Cxc11;I-tac;Scyb11;Scyb9b;betaR1;	56066	MGI:1860203	Cxcl11	http://www.ncbi.nlm.nih.gov/gene/?term=56066	chemokine (C-X-C motif) ligand 11	PR:000006065	C-X-C motif chemokine 11	SCYB9B;small-inducible cytokine B11;IP-9;interferon-inducible T-cell alpha chemoattractant;H174;SCYB11;I-TAC;interferon gamma-inducible protein 9;beta-R1;CXCL11;ITAC;	10090	CXL11_MOUSE	C-X-C motif chemokine 11
ANA526	Cxcl12	Pbsf;Sdf1;Tlsf;Tpar1;Scyb12;	20315	MGI:103556	Cxcl12	http://www.ncbi.nlm.nih.gov/gene/?term=20315	chemokine (C-X-C motif) ligand 12	PR:000006066	stromal cell-derived factor 1	SDF1A;TPAR1;TLSF;IRH;SDF1;SDF-1;SDF1B;12-O-tetradecanoylphorbol 13-acetate repressed protein 1;CXCL12;PBSF;C-X-C motif chemokine 12;intercrine reduced in hepatomas;pre-B cell growth-stimulating factor;thymic lymphoma cell-stimulating factor;	10090	SDF1_MOUSE	Stromal cell-derived factor 1
ANA527	Cxcl13	BLC;Angie;BCA-1;BLR1L;ANGIE2;Scyb13;4631412M08Rik;	55985	MGI:1888499	Cxcl13	http://www.ncbi.nlm.nih.gov/gene/?term=55985	chemokine (C-X-C motif) ligand 13	PR:000006067	C-X-C motif chemokine 13	small-inducible cytokine B13;SCYB13;B lymphocyte chemoattractant;BCA1;CXCL13;BCA-1;B cell-attracting chemokine 1;CXC chemokine BLC;angie;BLC;	10090	CXL13_MOUSE	C-X-C motif chemokine 13
ANA528	Cxcl14	KS1;Kec;BMAC;BRAK;NJAC;MIP-2g;Scyb14;AI414372;bolekine;MIP2gamma;1110031L23Rik;1200006I23Rik;	57266	MGI:1888514	Cxcl14	http://www.ncbi.nlm.nih.gov/gene/?term=57266	chemokine (C-X-C motif) ligand 14	PR:000006068	C-X-C motif chemokine 14	CXCL14;SCYB14;NJAC;chemokine BRAK;small-inducible cytokine B14;	10090	CXL14_MOUSE	C-X-C motif chemokine 14
ANA529	Cxcl16	SR-PSOX;Zmynd15;AV290116;BB024863;CXCL16v1;CXCL16v2;b2b498Clo;0910001K24Rik;	66102	MGI:1932682	Cxcl16	http://www.ncbi.nlm.nih.gov/gene/?term=66102	chemokine (C-X-C motif) ligand 16	PR:000001804	C-X-C motif chemokine 16	transmembrane chemokine CXCL16;CXCL16;SRPSOX;SR-PSOX;small-inducible cytokine B16;scavenger receptor for phosphatidylserine and oxidized low density lipoprotein;SCYB16;	10090	CXL16_MOUSE	C-X-C motif chemokine 16
ANA53	CSF2	GMCSF;	1437	HGNC:2434	GMCSF	http://www.ncbi.nlm.nih.gov/gene/?term=1437	colony stimulating factor 2 (granulocyte-macrophage)	PR:000005931	granulocyte-macrophage colony-stimulating factor	molgramostin;sargramostim;CSF2;GM-CSF;colony-stimulating factor;GMCSF;Csfgm;CSF;	9606	CSF2_HUMAN	Granulocyte-macrophage colony-stimulating factor
ANA530	Cxcl17	Vcc1;VCC-1;	232983	MGI:2387642	Cxcl17	http://www.ncbi.nlm.nih.gov/gene/?term=232983	chemokine (C-X-C motif) ligand 17	PR:000001805	VEGF co-regulated chemokine 1	DMC;dendritic cell and monocyte chemokine-like protein;13.6 kDa protein;CXCL17;VCC1;	10090	VCC1_MOUSE	VEGF coregulated chemokine 1
ANA531	Cxcl2	GROb;Gro2;Mip2;Scyb;MIP-2;Scyb2;MIP-2a;Mgsa-b;CINC-2a;	20310	MGI:1340094	Cxcl2	http://www.ncbi.nlm.nih.gov/gene/?term=20310	chemokine (C-X-C motif) ligand 2	PR:000006069	C-X-C motif chemokine 2	macrophage inflammatory protein 2-alpha;Mip-2;SCYB2;GROB;MIP2-alpha;CXCL2;MIP2;growth-regulated protein beta;Gro-beta;macrophage inflammatory protein 2;GRO2;MIP2A;	10090	CXCL2_MOUSE	C-X-C motif chemokine 2
ANA532	Cxcl3	Dcip1;Gm1960;	330122	MGI:3037818	Cxcl3	http://www.ncbi.nlm.nih.gov/gene/?term=330122	chemokine (C-X-C motif) ligand 3	PR:000006070	C-X-C motif chemokine 3	SCYB3;MIP2-beta;GRO-gamma(1-73);CXCL3;GRO-gamma;dendritic cell inflammatory protein 1;GRO3;Gm1960;GROG;growth-regulated protein gamma;Dcip1;macrophage inflammatory protein 2-beta;	10090	CXCL3_MOUSE	C-X-C motif chemokine 3
ANA533	Cxcl5	LIX;GCP-2;Scyb5;Scyb6;ENA-78;AMCF-II;	20311	MGI:1096868	Cxcl5	http://www.ncbi.nlm.nih.gov/gene/?term=20311	chemokine (C-X-C motif) ligand 5	PR:000006071	C-X-C motif chemokine 5	neutrophil-activating peptide ENA-78;cytokine LIX;epithelial-derived neutrophil-activating protein 78;small-inducible cytokine B5;ENA78;ENA-78(1-78);CXCL5;SCYB5;	10090	CXCL5_MOUSE	GCP-2(9-78)
ANA534	Cxcl9	CMK;Mig;MuMIG;Scyb9;crg-10;BB139920;	17329	MGI:1352449	Cxcl9	http://www.ncbi.nlm.nih.gov/gene/?term=17329	chemokine (C-X-C motif) ligand 9	PR:000006073	C-X-C motif chemokine 9	MIG;M119;gamma-interferon-induced monokine;SCYB9;small-inducible cytokine B9;CMK;CXCL9;	10090	CXCL9_MOUSE	C-X-C motif chemokine 9
